PMERELG	clswrkr	GEDIV	A_ERNLWT	educ	marstat	sex	union	ERN_SRCE	ERN_VAL	WEWKRS	WEXP	WEMIND	WEIND	WEMOCG	POCCU2	occ	ind	PMHRUSLT	race	hispanic	age	disabled	HEFAMINC	PTFT	hrwage
1	1	2	12496.04	40	1	2	2	1	35000	1	1	9	13	7	19	2	9	35	1	2	42	2	13	2	19.657143
1	1	2	13177.49	40	7	2	0	1	50000	1	1	4	4	20	48	8	4	40	1	2	39	2	12	2	20.93
1	1	2	13177.49	39	1	2	2	1	8200	2	7	5	7	16	39	4	5	25	1	2	36	2	12	1	7.85
1	3	2	15670.61	40	7	2	2	1	5000	4	11	10	15	17	40	5	10	8	1	2	19	2	13	1	7.5
1	1	2	0	39	1	1	0	1	85000	3	4	4	4	20	48	7	6	40	1	2	55	2	16	2	NA
1	1	2	12080.87	43	7	2	0	1	70000	1	1	10	16	10	25	2	10	40	2	2	44	2	15	2	33.65
1	1	2	16911.13	40	5	2	2	1	10000	2	7	12	20	15	37	3	12	20	1	1	39	2	9	1	7.5
1	1	2	13382.4	39	1	2	0	1	1900	4	12	6	9	17	40	5	6	20	1	2	47	1	9	1	35
1	1	2	0	43	1	2	0	1	44000	1	1	10	16	3	9	2	10	60	2	2	51	2	9	2	NA
1	4	2	0	40	7	1	0	1	20000	1	1	6	8	22	51	10	6	40	2	2	46	2	10	2	NA
1	1	2	12040.26	40	3	2	2	1	40000	1	1	10	15	8	22	2	10	40	2	2	33	2	10	2	14.1
1	2	2	16537.14	44	7	1	0	1	53000	1	1	10	15	8	21	2	10	40	1	2	27	2	15	2	19.225
1	3	2	15249.69	43	1	2	2	1	35000	1	1	13	21	17	40	5	13	40	1	2	27	2	9	2	5.75
1	1	2	11028.4	43	1	2	2	1	100000	1	1	4	4	3	8	2	4	40	4	2	57	2	15	2	50
1	1	2	11484.03	43	6	2	2	1	31200	1	1	10	16	11	28	3	10	40	1	2	55	2	11	2	15
1	1	2	0	39	6	2	0	1	17000	1	1	5	7	17	40	5	5	40	2	1	52	2	12	2	NA
1	1	2	0	43	1	1	0	1	29000	1	1	5	7	17	40	5	5	40	1	1	50	2	14	2	NA
1	1	2	0	36	6	2	0	1	42000	1	1	11	17	14	35	3	11	40	2	2	41	2	9	2	NA
1	1	2	0	43	7	2	0	1	25000	1	1	7	10	9	23	2	7	50	1	2	42	2	15	2	NA
1	1	2	14303.09	39	1	1	2	1	18002	1	1	6	8	17	40	5	6	40	1	1	28	2	3	2	10
1	1	2	13843.12	39	7	1	2	1	20800	1	1	9	14	12	31	4	5	30	1	1	22	2	8	1	10
1	4	2	14399.89	43	1	1	0	1	76000	1	1	13	21	12	30	3	13	40	1	2	29	2	13	2	8.15
1	1	2	12481.61	39	5	2	2	1	53790	1	1	9	13	17	40	5	9	40	1	2	50	2	12	2	25.41
1	1	2	12923.28	39	1	2	0	1	30000	1	1	10	16	10	27	2	10	40	1	2	46	2	15	2	20.13
1	1	2	15119.15	39	1	1	2	1	65000	1	1	5	6	17	40	5	5	40	4	2	55	2	14	2	25.475
1	1	2	13077.1	43	5	1	2	1	108000	1	1	8	11	16	38	4	8	35	1	2	61	2	14	2	10.971429
1	1	2	0	44	1	2	0	0	0	5	13	15	23	24	53	2	12	0	1	2	33	2	16	1	NA
1	1	2	12193.17	39	7	2	2	1	40000	1	1	10	16	11	28	3	10	35	1	1	52	2	11	2	28.92
1	1	2	16537.14	43	7	1	2	1	120000	1	1	8	12	2	6	1	8	60	1	2	27	2	14	2	38.466667
1	1	2	16911.13	43	7	2	2	1	45000	1	1	7	10	16	39	4	7	40	1	1	37	2	15	2	21.625
1	1	2	12508.05	42	1	1	2	1	5000	1	1	5	7	16	39	4	5	45	4	2	24	2	13	2	7.688889
1	1	2	12361.37	40	1	2	2	1	20000	2	7	6	8	22	51	10	6	20	1	1	57	2	14	1	12
